ESTU_GENERO;ESTU_AREARESIDE;ESTU_VALORMATRICULAUNIVERSIDAD;ESTU_PAGOMATRICULABECA;ESTU_PAGOMATRICULACREDITO;ESTU_PAGOMATRICULAPADRES;ESTU_PAGOMATRICULAPROPIO;ESTU_COMOCAPACITOEXAMENSB11;FAMI_EDUCACIONPADRE;FAMI_EDUCACIONMADRE;FAMI_VIVIENDA;FAMI_TIENEINTERNET;FAMI_TIENECOMPUTADOR;FAMI_TRABAJOLABORPADRE;FAMI_TRABAJOLABORMADRE;ESTU_HORASSEMANATRABAJA;ESTU_PRGM_ACADEMICO;MOD_RAZONA_CUANTITAT_PUNT;MOD_LECTURA_CRITICA_PUNT;MOD_COMPETEN_CIUDADA_PUNT;MOD_COMUNI_ESCRITA_PUNT;PUNT_GLOBAL;MOD_INGLES_PUNT
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;Si;Repasa por cuenta propia;Primaria incompleta;Primaria incompleta;1;Si;Si;Trabaja como personal de limpieza, mantenimiento, seguridad o construccion;Trabaja como personal de limpieza, mantenimiento, seguridad o construccion;Entre 11 y 20 horas;DISE袿 INDUSTRIAL;143;155;91;159;139;148
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Toma un curso de preparacion;Educacion profesional completa;Tecnica o tecnologica completa;3;Si;Si;Trabaja como profesional (por ejemplo medico, abogado, ingeniero);Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Entre 11 y 20 horas;DISE袿 INDUSTRIAL;136;167;120;162;150;165
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;Secundaria (Bachillerato) completa;Tecnica o tecnologica completa;2;Si;Si;Ninguno;Pensionado;Entre 11 y 20 horas;DISE袿 INDUSTRIAL;145;115;88;99;118;145
F;Cabecera Municipal;Entre 500 mil y menos de 1 millon;No;Si;No;Si;Repasa por cuenta propia;Educacion profesional completa;Tecnica o tecnologica completa;4;Si;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Es vendedor o trabaja en atencion al publico;Entre 11 y 20 horas;DISE袿 INDUSTRIAL;124;161;148;137;148;172
M;Cabecera Municipal;Menos de 500 mil;Si;No;No;Si;Repasa por cuenta propia;Ninguno;Ninguno;2;No;Si;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;Entre 11 y 20 horas;DISE袿 INDUSTRIAL;197;63;191;147;150;153
M;Cabecera Municipal;Menos de 500 mil;No;No;No;Si;Repasa por cuenta propia;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;6;Si;Si;Es vendedor o trabaja en atencion al publico;Es agricultor, pesquero o jornalero;Entre 21 y 30 horas;DISE袿 INDUSTRIAL;145;131;120;111;129;136
M;Cabecera Municipal;Entre 500 mil y menos de 1 millon;No;No;Si;No;Toma un curso de preparacion;Secundaria (Bachillerato) incompleta;Educacion profesional completa;2;Si;Si;Ninguno;Trabaja como profesional (por ejemplo medico, abogado, ingeniero);Mas de 30 horas;DISE袿 INDUSTRIAL;175;190;181;175;183;193
M;Cabecera Municipal;Entre 500 mil y menos de 1 millon;No;No;Si;No;Repasa por cuenta propia;Educacion profesional completa;Educacion profesional completa;;Si;Si;Ninguno;Trabaja en el hogar, no trabaja o estudia;Entre 21 y 30 horas;DISE袿 INDUSTRIAL;207;201;181;164;188;187
F;Area Rural;Menos de 500 mil;No;No;Si;No;No realiza ninguna prueba de preparacion;Tecnica o tecnologica completa;Tecnica o tecnologica completa;;;;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);;DISE袿 INDUSTRIAL;145;135;91;180;144;167
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;Si;Toma un curso de preparacion;Postgrado;Educacion profesional completa;3;Si;Si;Trabaja como profesional (por ejemplo medico, abogado, ingeniero);Trabaja en el hogar, no trabaja o estudia;Entre 11 y 20 horas;DISE袿 INDUSTRIAL;147;131;141;140;145;167
M;Cabecera Municipal;Entre 1 millon y menos de 2.5 millones;No;No;No;Si;Repasa por cuenta propia;Primaria incompleta;Educacion profesional completa;4;Si;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja por cuenta propia (por ejemplo plomero, electricista);Menos de 10 horas;DISE袿 INDUSTRIAL;183;152;149;126;155;163
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;Si;Repasa por cuenta propia;Primaria incompleta;Primaria incompleta;2;No;Si;Trabaja en el hogar, no trabaja o estudia;Trabaja en el hogar, no trabaja o estudia;0;DISE袿 INDUSTRIAL;99;140;143;148;135;144
F;Cabecera Municipal;Menos de 500 mil;Si;Si;Si;Si;Toma un curso de preparacion;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;2;;;Trabaja en el hogar, no trabaja o estudia;Trabaja por cuenta propia (por ejemplo plomero, electricista);;DISE袿 INDUSTRIAL;144;167;148;139;148;141
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;Primaria incompleta;Primaria incompleta;2;Si;Si;Trabaja como personal de limpieza, mantenimiento, seguridad o construccion;Trabaja en el hogar, no trabaja o estudia;0;DISE袿 INDUSTRIAL;143;149;152;131;144;147
F;Area Rural;Entre 1 millon y menos de 2.5 millones;No;No;Si;No;Toma un curso de preparacion;Educacion profesional completa;Educacion profesional completa;2;Si;Si;Trabaja como profesional (por ejemplo medico, abogado, ingeniero);Trabaja como profesional (por ejemplo medico, abogado, ingeniero);Entre 11 y 20 horas;DISE袿 INDUSTRIAL;128;181;163;94;156;214
M;Cabecera Municipal;;;;;;No realiza ninguna prueba de preparacion;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;3;Si;Si;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;DISE袿 INDUSTRIAL;162;147;181;166;160;142
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Toma un curso de preparacion;Educacion profesional completa;Educacion profesional incompleta;3;Si;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Entre 11 y 20 horas;DISE袿 INDUSTRIAL;166;141;122;141;146;158
M;Cabecera Municipal;Menos de 500 mil;No;No;No;Si;No realiza ninguna prueba de preparacion;Primaria completa;Primaria completa;2;Si;No;Trabaja en el hogar, no trabaja o estudia;Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;DISE袿 INDUSTRIAL;168;163;95;137;142;145
M;Cabecera Municipal;Entre 1 millon y menos de 2.5 millones;No;No;Si;No;Toma un curso de preparacion;Postgrado;Educacion profesional completa;3;Si;Si;Trabaja como profesional (por ejemplo medico, abogado, ingeniero);Trabaja en el hogar, no trabaja o estudia;Entre 21 y 30 horas;DISE袿 INDUSTRIAL;160;170;196;146;172;188
F;Cabecera Municipal;Entre 500 mil y menos de 1 millon;No;No;Si;Si;Repasa por cuenta propia;Educacion profesional completa;Postgrado;3;Si;Si;Trabaja como profesional (por ejemplo medico, abogado, ingeniero);Trabaja como profesional (por ejemplo medico, abogado, ingeniero);Entre 11 y 20 horas;DISE袿 INDUSTRIAL;173;185;166;132;165;167
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;Si;Repasa por cuenta propia;;;;;;;;;DISE袿 INDUSTRIAL;200;184;130;106;157;166
F;Cabecera Municipal;Entre 1 millon y menos de 2.5 millones;No;No;Si;No;Repasa por cuenta propia;Postgrado;Educacion profesional completa;4;Si;Si;Pensionado;Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;DISE袿 INDUSTRIAL;79;166;103;194;141;162
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;Tecnica o tecnologica completa;Tecnica o tecnologica completa;2;Si;Si;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Menos de 10 horas;DISE袿 INDUSTRIAL;120;120;120;169;131;124
M;Cabecera Municipal;Menos de 500 mil;No;No;No;Si;Toma un curso de preparacion;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;2;No;Si;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Trabaja en el hogar, no trabaja o estudia;Entre 21 y 30 horas;ADMINISTRACION DE EMPRESAS;171;183;91;140;153;179
M;Cabecera Municipal;Menos de 500 mil;Si;No;Si;No;Repasa por cuenta propia;Primaria incompleta;Primaria completa;1;Si;Si;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Trabaja en el hogar, no trabaja o estudia;Entre 11 y 20 horas;ADMINISTRACION DE EMPRESAS;174;215;196;144;182;181
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Toma un curso de preparacion;;Secundaria (Bachillerato) completa;2;Si;Si;;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;0;ADMINISTRACION DE EMPRESAS;184;180;175;206;179;151
F;Area Rural;Menos de 500 mil;No;No;Si;No;Toma un curso de preparacion;Primaria completa;Primaria completa;2;Si;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);No aplica;Menos de 10 horas;ADMINISTRACION DE EMPRESAS;150;136;171;172;161;175
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;Si;No realiza ninguna prueba de preparacion;Secundaria (Bachillerato) incompleta;Tecnica o tecnologica incompleta;2;No;No;Trabaja en el hogar, no trabaja o estudia;Es due駉 de un negocio grande, tiene un cargo de nivel directivo o gerencial;;ADMINISTRACION DE EMPRESAS;173;161;166;141;158;147
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Toma un curso de preparacion;Ninguno;Ninguno;4;Si;Si;Ninguno;Trabaja como profesional (por ejemplo medico, abogado, ingeniero);Menos de 10 horas;ADMINISTRACION DE EMPRESAS;182;197;179;130;174;181
F;Cabecera Municipal;Menos de 500 mil;Si;Si;No;No;Toma un curso de preparacion;Primaria completa;Primaria completa;2;Si;Si;Es operario de maquinas o conduce vehiculos (taxita, chofer);Es operario de maquinas o conduce vehiculos (taxita, chofer);Entre 11 y 20 horas;ADMINISTRACION DE EMPRESAS;182;159;165;141;161;157
F;Cabecera Municipal;Menos de 500 mil;Si;No;No;No;Toma un curso de preparacion;Primaria incompleta;Primaria incompleta;1;Si;Si;Es agricultor, pesquero o jornalero;Es agricultor, pesquero o jornalero;Menos de 10 horas;ADMINISTRACION DE EMPRESAS;196;150;134;202;176;198
F;Cabecera Municipal;Menos de 500 mil;Si;No;No;No;No realiza ninguna prueba de preparacion;Educacion profesional incompleta;Secundaria (Bachillerato) completa;3;Si;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja por cuenta propia (por ejemplo plomero, electricista);0;ADMINISTRACION DE EMPRESAS;163;190;167;138;153;106
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;No realiza ninguna prueba de preparacion;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;2;Si;Si;Es operario de maquinas o conduce vehiculos (taxita, chofer);Es vendedor o trabaja en atencion al publico;0;ADMINISTRACION DE EMPRESAS;192;168;147;128;157;151
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;Primaria completa;Primaria completa;1;No;Si;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;Entre 21 y 30 horas;ADMINISTRACION DE EMPRESAS;189;167;143;170;166;162
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Toma un curso de preparacion;Educacion profesional completa;Tecnica o tecnologica completa;;Si;Si;Ninguno;Es vendedor o trabaja en atencion al publico;Entre 21 y 30 horas;ADMINISTRACION DE EMPRESAS;169;131;146;139;148;157
M;Cabecera Municipal;Menos de 500 mil;Si;No;Si;No;Repasa por cuenta propia;Tecnica o tecnologica completa;Tecnica o tecnologica completa;1;No;Si;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Menos de 10 horas;ADMINISTRACION DE EMPRESAS;215;178;173;164;180;169
M;Area Rural;Menos de 500 mil;No;Si;No;No;Repasa por cuenta propia;Secundaria (Bachillerato) completa;Primaria completa;1;Si;Si;Trabaja como personal de limpieza, mantenimiento, seguridad o construccion;Trabaja en el hogar, no trabaja o estudia;0;ADMINISTRACION DE EMPRESAS;179;189;169;202;184;183
M;Cabecera Municipal;Menos de 500 mil;No;No;No;Si;Repasa por cuenta propia;Primaria completa;Primaria completa;2;Si;Si;Ninguno;Trabaja en el hogar, no trabaja o estudia;Entre 21 y 30 horas;ADMINISTRACION DE EMPRESAS;156;162;158;150;152;134
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;Si;Toma un curso de preparacion;Secundaria (Bachillerato) completa;Educacion profesional completa;2;Si;Si;Trabaja como personal de limpieza, mantenimiento, seguridad o construccion;Trabaja como profesional (por ejemplo medico, abogado, ingeniero);Entre 11 y 20 horas;ADMINISTRACION DE EMPRESAS;160;169;194;120;161;164
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Toma un curso de preparacion;Primaria incompleta;Primaria incompleta;;;;;;;ADMINISTRACION DE EMPRESAS;153;153;184;132;157;161
M;Cabecera Municipal;Menos de 500 mil;No;No;No;Si;Toma un curso de preparacion;Primaria incompleta;Secundaria (Bachillerato) completa;1;No;Si;Ninguno;Trabaja en el hogar, no trabaja o estudia;Mas de 30 horas;ADMINISTRACION DE EMPRESAS;178;167;141;184;165;156
F;Cabecera Municipal;Menos de 500 mil;Si;No;No;Si;Repasa por cuenta propia;Primaria completa;Primaria completa;1;No;No;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;ADMINISTRACION DE EMPRESAS;171;139;164;147;150;128
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;Si;Repasa por cuenta propia;Educacion profesional incompleta;Secundaria (Bachillerato) incompleta;2;No;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja por cuenta propia (por ejemplo plomero, electricista);Entre 11 y 20 horas;ADMINISTRACION DE EMPRESAS;184;207;182;121;169;153
M;Cabecera Municipal;Menos de 500 mil;No;No;No;Si;Repasa por cuenta propia;Postgrado;Secundaria (Bachillerato) completa;4;Si;Si;Pensionado;Trabaja en el hogar, no trabaja o estudia;Entre 11 y 20 horas;ADMINISTRACION DE EMPRESAS;164;171;153;141;164;191
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;Si;Repasa por cuenta propia;Secundaria (Bachillerato) incompleta;Primaria incompleta;1;No;Si;Ninguno;Trabaja por cuenta propia (por ejemplo plomero, electricista);Menos de 10 horas;ADMINISTRACION DE EMPRESAS;173;178;160;155;167;171
F;Cabecera Municipal;Menos de 500 mil;Si;No;No;Si;Toma un curso de preparacion;Educacion profesional incompleta;Tecnica o tecnologica completa;1;Si;Si;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;0;ADMINISTRACION DE EMPRESAS;193;222;197;133;186;183
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;Si;Repasa por cuenta propia;;;;;;;;;ADMINISTRACION DE EMPRESAS;174;197;106;132;155;164
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;Ninguno;Secundaria (Bachillerato) completa;2;Si;Si;Ninguno;Trabaja como personal de limpieza, mantenimiento, seguridad o construcci贸n;0;ADMINISTRACION DE EMPRESAS;163;166;132;166;160;171
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;Si;Toma un curso de preparacion;Secundaria (Bachillerato) incompleta;Primaria incompleta;1;No;Si;Es agricultor, pesquero o jornalero;Es agricultor, pesquero o jornalero;Mas de 30 horas;ADMINISTRACION DE EMPRESAS;178;162;147;0;129;157
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;Si;No realiza ninguna prueba de preparacion;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;3;Si;Si;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Trabaja como personal de limpieza, mantenimiento, seguridad o construcci贸n;Menos de 10 horas;ADMINISTRACION DE EMPRESAS;189;171;156;143;167;174
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Toma un curso de preparacion;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;1;Si;Si;Es operario de maquinas o conduce vehiculos (taxita, chofer);;0;ADMINISTRACION DE EMPRESAS;163;161;133;178;161;171
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Toma un curso de preparacion;Primaria incompleta;Primaria incompleta;1;Si;Si;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;0;ADMINISTRACION DE EMPRESAS;173;181;181;148;174;187
M;Cabecera Municipal;Menos de 500 mil;No;No;No;Si;Repasa por cuenta propia;Postgrado;Secundaria (Bachillerato) completa;3;Si;Si;Trabaja como profesional (por ejemplo medico, abogado, ingeniero);Trabaja en el hogar, no trabaja o estudia;Entre 21 y 30 horas;ADMINISTRACION DE EMPRESAS;141;136;156;137;153;194
F;Cabecera Municipal;Menos de 500 mil;No;No;No;Si;Repasa por cuenta propia;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;2;Si;Si;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Trabaja en el hogar, no trabaja o estudia;Entre 11 y 20 horas;ADMINISTRACION DE EMPRESAS;199;183;145;151;165;145
F;Cabecera Municipal;Menos de 500 mil;No;Si;Si;No;No realiza ninguna prueba de preparacion;Primaria incompleta;Primaria incompleta;1;Si;Si;Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Trabaja en el hogar, no trabaja o estudia;0;ADMINISTRACION DE EMPRESAS;181;164;195;151;158;101
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Toma un curso de preparacion;Secundaria (Bachillerato) completa;Educacion profesional incompleta;2;Si;Si;Ninguno;Trabaja como personal de limpieza, mantenimiento, seguridad o construcci贸n;Entre 21 y 30 horas;ADMINISTRACION DE EMPRESAS;169;183;185;159;171;160
M;Cabecera Municipal;Menos de 500 mil;No;No;No;Si;No realiza ninguna prueba de preparacion;Ninguno;Secundaria (Bachillerato) completa;2;Si;Si;Ninguno;Es vendedor o trabaja en atencion al publico;Entre 11 y 20 horas;ADMINISTRACION DE EMPRESAS;147;142;129;150;147;166
M;Area Rural;Menos de 500 mil;No;No;Si;Si;Repasa por cuenta propia;Primaria incompleta;Primaria completa;1;No;Si;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;Entre 11 y 20 horas;ADMINISTRACION DE EMPRESAS;127;148;191;162;157;156
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Toma un curso de preparacion;Primaria incompleta;Tecnica o tecnologica completa;1;No;Si;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;Entre 11 y 20 horas;ADMINISTRACION DE EMPRESAS;178;179;164;220;184;177
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Toma un curso de preparacion;Secundaria (Bachillerato) completa;Tecnica o tecnologica incompleta;2;Si;Si;Pensionado;Trabaja en el hogar, no trabaja o estudia;0;ADMINISTRACION DE EMPRESAS;195;187;166;182;184;188
F;Area Rural;Menos de 500 mil;No;Si;No;No;No realiza ninguna prueba de preparacion;Educacion profesional incompleta;Educacion profesional completa;1;Si;Si;Es agricultor, pesquero o jornalero;Trabaja como profesional (por ejemplo medico, abogado, ingeniero);Entre 11 y 20 horas;DERECHO;163;176;143;0;134;187
F;Area Rural;Menos de 500 mil;No;Si;Si;No;Repasa por cuenta propia;Primaria incompleta;Secundaria (Bachillerato) incompleta;1;No;Si;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;0;INGENIERIA DE SISTEMAS;170;168;169;129;162;173
F;Cabecera Municipal;Entre 500 mil y menos de 1 millon;No;No;Si;No;Repasa por cuenta propia;Primaria incompleta;Educacion profesional completa;2;Si;Si;Es agricultor, pesquero o jornalero;Trabaja como profesional (por ejemplo medico, abogado, ingeniero);Entre 11 y 20 horas;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN CIENCIAS SOCIALES;152;211;179;125;167;170
F;Cabecera Municipal;Menos de 500 mil;Si;No;Si;No;No realiza ninguna prueba de preparacion;Secundaria (Bachillerato) incompleta;;;;;;;;INGENIERIA AGROINDUSTRIAL;194;226;188;184;193;171
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;Primaria completa;Secundaria (Bachillerato) completa;2;Si;Si;Ninguno;Trabaja en el hogar, no trabaja o estudia;0;MERCADEO;190;218;194;179;195;193
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;1;Si;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja en el hogar, no trabaja o estudia;Mas de 30 horas;DERECHO;156;170;166;85;146;151
F;Cabecera Municipal;Menos de 500 mil;Si;No;No;Si;Repasa por cuenta propia;Primaria incompleta;Primaria incompleta;2;Si;Si;Es operario de maquinas o conduce vehiculos (taxita, chofer);Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;INGENIERIA EN PRODUCCION ACUICOLA;158;177;170;161;166;162
F;Cabecera Municipal;Menos de 500 mil;Si;No;No;No;Repasa por cuenta propia;Primaria incompleta;Primaria incompleta;1;No;No;Trabaja en el hogar, no trabaja o estudia;Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;LICENCIATURA EN LENGUA CASTELLANA Y LITERATURA;111;101;139;125;115;101
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;Primaria incompleta;Primaria incompleta;2;Si;Si;Es operario de maquinas o conduce vehiculos (taxita, chofer);Trabaja en el hogar, no trabaja o estudia;0;CONTADURIA PUBLICA;145;167;171;168;163;163
F;Cabecera Municipal;Menos de 500 mil;No;Si;No;No;Repasa por cuenta propia;Ninguno;Primaria incompleta;1;No;No;Ninguno;Ninguno;Entre 11 y 20 horas;INGENIERIA EN PRODUCCION ACUICOLA;152;158;151;0;119;136
F;Cabecera Municipal;Entre 500 mil y menos de 1 millon;No;No;No;Si;Repasa por cuenta propia;;;;;;;;;LICENCIATURA EN FILOSOFIA Y LETRAS;132;196;198;135;165;164
M;Area Rural;Menos de 500 mil;No;No;Si;No;No realiza ninguna prueba de preparacion;Primaria incompleta;Postgrado;2;Si;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Pensionado;;LICENCIATURA EN MATEMATICAS;163;162;115;161;150;148
F;Area Rural;Menos de 500 mil;No;Si;No;No;No realiza ninguna prueba de preparacion;Primaria incompleta;Secundaria (Bachillerato) incompleta;1;Si;No;Es agricultor, pesquero o jornalero;Trabaja como personal de limpieza, mantenimiento, seguridad o construcci贸n;Mas de 30 horas;ZOOTECNIA;172;154;166;96;144;131
F;Cabecera Municipal;Menos de 500 mil;No;No;No;Si;Repasa por cuenta propia;Secundaria (Bachillerato) completa;Tecnica o tecnologica completa;2;Si;Si;;Trabaja en el hogar, no trabaja o estudia;Entre 11 y 20 horas;INGENIERIA AMBIENTAL;133;174;166;182;159;139
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;Educacion profesional completa;Secundaria (Bachillerato) completa;3;Si;Si;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Entre 21 y 30 horas;LICENCIATURA EN INFORMATICA;94;119;72;102;107;150
F;Area Rural;Menos de 500 mil;No;No;Si;Si;Repasa por cuenta propia;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;1;No;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Es due駉 de un negocio peque駉 (tiene pocos empleados o no tiene, por ejemplo tienda, papelera, etc;Entre 11 y 20 horas;INGENIERIA AGROFORESTAL;155;148;124;128;140;145
F;Cabecera Municipal;Menos de 500 mil;Si;No;No;Si;Toma un curso de preparacion;Educacion profesional completa;Secundaria (Bachillerato) completa;1;Si;Si;Trabaja como profesional (por ejemplo medico, abogado, ingeniero);Trabaja en el hogar, no trabaja o estudia;Mas de 30 horas;ADMINISTRACION DE EMPRESAS;159;161;112;186;161;185
M;Area Rural;Menos de 500 mil;No;Si;No;No;Repasa por cuenta propia;Ninguno;Primaria incompleta;1;No;Si;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;Entre 21 y 30 horas;LICENCIATURA EN CIENCIAS NATURALES Y EDUCACION AMBIENTAL;138;147;127;204;149;127
F;Cabecera Municipal;Menos de 500 mil;No;No;No;Si;Repasa por cuenta propia;Secundaria (Bachillerato) incompleta;Primaria completa;1;Si;No;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja en el hogar, no trabaja o estudia;Entre 11 y 20 horas;LICENCIATURA EN LENGUA CASTELLANA Y LITERATURA;130;143;157;161;146;140
M;Area Rural;Menos de 500 mil;No;No;Si;No;No realiza ninguna prueba de preparacion;Primaria completa;Primaria completa;2;No;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;INGENIERIA DE SISTEMAS;208;198;173;124;174;169
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;Secundaria (Bachillerato) incompleta;Tecnica o tecnologica completa;2;Si;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja en el hogar, no trabaja o estudia;0;DERECHO;185;182;207;167;192;219
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;Si;Repasa por cuenta propia;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;1;Si;Si;Trabaja como personal de limpieza, mantenimiento, seguridad o construccion;Trabaja como personal de limpieza, mantenimiento, seguridad o construccion;Menos de 10 horas;LICENCIATURA EN ESPA袿L E INGLES;155;194;212;129;184;229
M;Area Rural;Menos de 500 mil;Si;No;No;Si;Repasa por cuenta propia;Primaria incompleta;Primaria incompleta;1;Si;Si;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;Mas de 30 horas;INGENIERIA AMBIENTAL;149;164;172;158;152;115
M;Cabecera Municipal;Menos de 500 mil;No;No;Si;No;Repasa por cuenta propia;Primaria incompleta;Primaria incompleta;1;No;Si;Es agricultor, pesquero o jornalero;Es agricultor, pesquero o jornalero;0;INGENIERIA DE SISTEMAS;143;122;109;137;127;124
M;Area Rural;Menos de 500 mil;No;No;No;Si;Repasa por cuenta propia;Primaria incompleta;Primaria incompleta;1;No;Si;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;Entre 21 y 30 horas;MERCADEO;186;152;157;176;167;164
F;Cabecera Municipal;Menos de 500 mil;No;No;Si;Si;Repasa por cuenta propia;Secundaria (Bachillerato) completa;Primaria incompleta;1;No;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja en el hogar, no trabaja o estudia;Menos de 10 horas;LICENCIATURA EN MUSICA;129;119;131;132;131;142
