ESTU_GENERO;FAMI_VIVIENDA;FAMI_EDUCACIONPADRE;FAMI_EDUCACIONMADRE;FAMI_TRABAJOLABORPADRE;FAMI_TRABAJOLABORMADRE;FAMI_TIENEINTERNET;FAMI_TIENECOMPUTADOR;FAMI_NUMLIBROS;FAMI_SITUACIONECONOMICA;ESTU_DEDICACIONLECTURADIARIA;ESTU_DEDICACIONINTERNET;COLE_NATURALEZA;COLE_CALENDARIO;COLE_BILINGUE;COLE_AREA_UBICACION;COLE_JORNADA;PUNT_LECTURA_CRITICA;PUNT_MATEMATICAS;PUNT_C_NATURALES;PUNT_SOCIALES_CIUDADANAS;PUNT_INGLES;PUNT_GLOBAL
F;;Primaria;Bachillerato;Empleado;Empleado;Si;Si;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;UNICA;68;60;67;61;57;317
F;;;;;;;;;;;;OFICIAL;A;N;URBANO;UNICA;62;63;58;67;55;310
F;2;Primaria;Primaria;Empleado;Empleado;No;No;11 A 25 LIBROS;Peor;Entre 1 y 3 horas;Entre 1 y 3 horas;NO OFICIAL;A;N;URBANO;SABATINA;47;38;46;40;39;212
F;Estrato 1;Bachillerato;Tecnica o tecnoligica;Empleado;Empleado;No;No;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;S;URBANO;MAÑANA;62;70;64;61;50;316
F;Estrato 1;Bachillerato;Ninguno;Empleado;Empleado;Si;No;0 A 10 LIBROS;Igual;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;MAÑANA;62;48;49;47;51;257
F;Estrato 1;Ninguno;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;58;53;51;57;55;274
F;Sin Estrato;Primaria;Ninguno;Empleado;Empleado;No;No;0 A 10 LIBROS;Peor;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;TARDE;50;46;47;46;36;232
F;3;Tecnica o tecnoligica;Tecnica o tecnoligica;Empleado;Empleado;Si;Si;MAS DE 100 LIBROS;Igual;Entre 30 y 60 minutos;Entre 1 y 3 horas;NO OFICIAL;A;N;URBANO;MAÑANA;71;75;70;72;71;360
F;Estrato 2;Bachillerato;Bachillerato;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Mas de 3 horas;OFICIAL;A;N;RURAL;MAÑANA;53;46;42;44;48;232
F;Estrato 1;Bachillerato;Bachillerato;Empleado;Empleado;No;No;11 A 25 LIBROS;Igual;Entre 30 y 60 minutos;Entre 30 y 60 minutos;OFICIAL;A;N;RURAL;UNICA;54;54;56;45;58;263
F;2;Primaria;Primaria;Empleado;Empleado;Si;Si;MAS DE 100 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;56;57;54;49;54;270
F;Estrato 1;Bachillerato;Primaria;Empleado;Empleado;Si;No;26 A 100 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;MAÑANA;42;53;39;31;43;207
F;Estrato 2;Bachillerato;profesional;Empleado;Empleado;Si;No;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;UNICA;48;42;50;46;46;232
F;;Bachillerato;Primaria;Ninguno;Empleado;No;No;0 A 10 LIBROS;Mejor;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;RURAL;MAÑANA;49;48;37;30;43;206
F;1;Primaria;Primaria;Empleado;Empleado;Si;No;0 A 10 LIBROS;Peor;Entre 1 y 3 horas;No Navega Internet;NO OFICIAL;A;N;URBANO;MAÑANA;69;55;49;67;59;300
F;Estrato 1;Bachillerato;Bachillerato;Empleado;Empleado;No;No;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;59;68;57;57;52;298
F;Estrato 1;Primaria;Primaria;Ninguno;Empleado;Si;No;11 A 25 LIBROS;Peor;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;MAÑANA;59;52;50;48;43;258
F;Estrato 1;Bachillerato;Bachillerato;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;;URBANO;MAÑANA;55;43;57;52;47;257
F;Estrato 4;Ninguno;profesional;Ninguno;Empleado;Si;No;0 A 10 LIBROS;Igual;No leo por entretenimiento;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;44;35;41;30;37;187
F;Estrato 1;Bachillerato;Bachillerato;Empleado;Ninguno;No;No;11 A 25 LIBROS;Mejor;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;MAÑANA;40;40;37;37;44;195
F;5;Bachillerato;profesional;Empleado;Empleado;Si;Si;26 A 100 LIBROS;Igual;Entre 1 y 3 horas;Mas de 3 horas;NO OFICIAL;A;N;URBANO;MAÑANA;73;61;60;58;60;314
F;3;Tecnica o tecnoligica;Tecnica o tecnoligica;Empleado;Empleado;Si;Si;11 A 25 LIBROS;Igual;Entre 30 y 60 minutos;Entre 30 y 60 minutos;NO OFICIAL;A;N;URBANO;MAÑANA;61;61;59;68;59;310
F;1;Bachillerato;Ninguno;Empleado;Empleado;Si;Si;11 A 25 LIBROS;Mejor;Entre 1 y 3 horas;Entre 30 y 60 minutos;NO OFICIAL;A;;URBANO;MAÑANA;28;24;36;27;44;150
F;Estrato 3;Tecnica o tecnoligica;Bachillerato;Empleado;Empleado;Si;No;11 A 25 LIBROS;Mejor;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;UNICA;57;54;48;48;50;258
F;Estrato 2;Ninguno;Primaria;Ninguno;Empleado;Si;Si;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;UNICA;63;60;63;68;65;318
F;Estrato 1;profesional;Bachillerato;Empleado;Empleado;Si;Si;26 A 100 LIBROS;Igual;Entre 30 y 60 minutos;Mas de 3 horas;NO OFICIAL;A;;URBANO;MAÑANA;56;64;60;53;59;292
F;2;Bachillerato;Bachillerato;Ninguno;Empleado;No;No;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;UNICA;53;61;58;56;53;283
F;Estrato 2;profesional;profesional;Empleado;Empleado;Si;Si;0 A 10 LIBROS;Mejor;No leo por entretenimiento;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;50;27;33;46;48;198
F;Estrato 2;Bachillerato;Bachillerato;Empleado;Empleado;Si;Si;0 A 10 LIBROS;Igual;Entre 30 y 60 minutos;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;46;40;48;43;38;219
F;Estrato 4;Primaria;Primaria;Empleado;Empleado;Si;Si;11 A 25 LIBROS;Igual;Entre 30 y 60 minutos;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;48;55;52;51;45;255
F;Sin Estrato;Ninguno;Ninguno;Ninguno;Ninguno;Si;Si;0 A 10 LIBROS;Mejor;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;;URBANO;MAÑANA;36;32;39;33;32;174
F;Estrato 2;Bachillerato;Primaria;Empleado;Empleado;No;No;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;RURAL;MAÑANA;62;65;49;70;63;308
F;Estrato 1;Primaria;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 30 y 60 minutos;Entre 30 y 60 minutos;OFICIAL;A;N;RURAL;MAÑANA;51;59;44;44;44;245
F;;;;Empleado;Empleado;;Si;;Igual;;;OFICIAL;A;N;URBANO;MAÑANA;50;56;54;45;59;259
F;Estrato 1;Bachillerato;Bachillerato;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;No leo por entretenimiento;No Navega Internet;OFICIAL;A;N;RURAL;UNICA;56;60;44;46;35;251
F;1;Primaria;Primaria;Empleado;Empleado;No;No;26 A 100 LIBROS;Igual;Entre 30 y 60 minutos;Entre 30 y 60 minutos;OFICIAL;A;N;RURAL;MAÑANA;55;63;57;44;53;273
F;Estrato 1;Tecnica o tecnoligica;Tecnica o tecnoligica;Empleado;Empleado;No;No;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;68;69;63;60;71;327
F;Estrato 1;Bachillerato;Bachillerato;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;68;49;47;63;58;284
F;2;Bachillerato;Tecnica o tecnoligica;Empleado;Empleado;Si;;;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;NO OFICIAL;A;;URBANO;MAÑANA;45;46;49;54;48;242
F;Estrato 1;Bachillerato;profesional;Empleado;Empleado;Si;Si;26 A 100 LIBROS;Igual;No leo por entretenimiento;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;49;46;36;44;50;221
F;Estrato 1;Ninguno;Bachillerato;Ninguno;Empleado;No;No;11 A 25 LIBROS;Peor;No leo por entretenimiento;Mas de 3 horas;OFICIAL;A;;URBANO;UNICA;65;73;55;59;73;319
F;Estrato 2;Bachillerato;Bachillerato;Empleado;Empleado;Si;Si;0 A 10 LIBROS;Igual;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;UNICA;48;44;39;38;33;208
F;Estrato 2;Bachillerato;Bachillerato;Empleado;Ninguno;No;No;MAS DE 100 LIBROS;Peor;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;49;52;47;47;47;243
F;;;;Empleado;Empleado;;Si;;Igual;;;OFICIAL;A;N;URBANO;MAÑANA;64;56;56;62;59;297
F;Estrato 1;Primaria;Bachillerato;Empleado;Empleado;Si;Si;0 A 10 LIBROS;Igual;No leo por entretenimiento;Mas de 3 horas;OFICIAL;A;N;URBANO;MAÑANA;51;43;41;46;44;226
F;Estrato 1;profesional;profesional;Empleado;Empleado;Si;No;26 A 100 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;100;72;71;79;63;396
F;Estrato 1;Primaria;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Mejor;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;MAÑANA;45;49;44;47;49;232
F;1;Bachillerato;Bachillerato;Empleado;Empleado;Si;No;11 A 25 LIBROS;Peor;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;55;66;56;47;57;280
F;2;Tecnica o tecnoligica;Bachillerato;Empleado;Empleado;Si;No;26 A 100 LIBROS;Igual;No leo por entretenimiento;Mas de 3 horas;OFICIAL;A;N;URBANO;TARDE;49;56;56;41;55;254
F;Estrato 1;Primaria;Bachillerato;Empleado;Empleado;Si;No;26 A 100 LIBROS;Igual;No leo por entretenimiento;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;46;39;36;32;40;192
F;Estrato 2;Bachillerato;Bachillerato;Empleado;Empleado;No;No;11 A 25 LIBROS;Igual;Entre 30 y 60 minutos;Entre 30 y 60 minutos;OFICIAL;A;N;RURAL;MAÑANA;47;40;45;38;41;212
F;Estrato 1;Primaria;Bachillerato;Empleado;Empleado;No;No;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;41;54;51;41;59;238
F;Estrato 2;Tecnica o tecnoligica;Tecnica o tecnoligica;Empleado;Empleado;No;No;26 A 100 LIBROS;Peor;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;TARDE;66;62;65;64;77;326
F;1;Primaria;Primaria;;;Si;;11 A 25 LIBROS;;Entre 1 y 3 horas;Mas de 3 horas;OFICIAL;A;N;RURAL;TARDE;50;52;53;33;52;237
F;Estrato 1;Bachillerato;Primaria;Empleado;Empleado;Si;Si;26 A 100 LIBROS;Igual;Entre 30 y 60 minutos;Mas de 3 horas;OFICIAL;A;N;RURAL;MAÑANA;49;54;48;51;40;248
F;2;profesional;profesional;Empleado;Empleado;Si;Si;MAS DE 100 LIBROS;Igual;Entre 1 y 3 horas;Mas de 3 horas;OFICIAL;A;N;RURAL;NOCHE;58;60;58;58;58;292
F;;;;;;;;;;;;NO OFICIAL;A;N;URBANO;MAÑANA;61;53;52;51;56;272
F;2;Bachillerato;Bachillerato;Empleado;Empleado;Si;No;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;NO OFICIAL;A;;URBANO;MAÑANA;43;43;40;37;40;203
F;Sin Estrato;Tecnica o tecnoligica;Tecnica o tecnoligica;Empleado;Empleado;Si;Si;11 A 25 LIBROS;Igual;Entre 30 y 60 minutos;Mas de 3 horas;OFICIAL;A;N;URBANO;MAÑANA;51;53;52;38;33;237
F;Estrato 1;Primaria;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Peor;Entre 30 y 60 minutos;No Navega Internet;OFICIAL;A;N;URBANO;MAÑANA;60;66;46;46;51;271
M;1;profesional;profesional;Empleado;Empleado;Si;No;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Mas de 3 horas;OFICIAL;A;N;RURAL;UNICA;66;68;61;68;57;325
F;1;Primaria;Primaria;;;Si;;11 A 25 LIBROS;;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;;URBANO;UNICA;56;37;47;46;53;235
F;2;Bachillerato;Bachillerato;Ninguno;Empleado;No;No;0 A 10 LIBROS;Peor;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;52;35;50;41;49;224
F;;;;Empleado;Empleado;;Si;;Igual;;;OFICIAL;A;N;URBANO;MAÑANA;67;69;56;63;59;317
F;Estrato 2;Primaria;Primaria;Ninguno;Empleado;Si;No;0 A 10 LIBROS;Mejor;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;;RURAL;MAÑANA;42;50;50;41;51;231
F;Estrato 2;Ninguno;Primaria;Ninguno;Empleado;Si;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;MAÑANA;49;48;43;37;53;225
F;;;;Empleado;Empleado;;Si;;Igual;;;NO OFICIAL;A;N;URBANO;MAÑANA;66;64;58;62;62;312
F;;Primaria;Primaria;Empleado;Empleado;Si;Si;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;51;34;41;46;40;214
F;Estrato 1;Primaria;Bachillerato;Empleado;Empleado;Si;Si;11 A 25 LIBROS;Igual;Mas de 2 horas;Mas de 3 horas;NO OFICIAL;A;N;URBANO;MAÑANA;62;50;57;58;59;285
F;1;Bachillerato;Bachillerato;Empleado;Empleado;Si;Si;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;S;URBANO;MAÑANA;66;60;64;60;68;315
F;1;Primaria;Bachillerato;Empleado;Empleado;Si;Si;0 A 10 LIBROS;;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;MAÑANA;44;53;51;33;53;229
F;Estrato 1;Tecnica o tecnoligica;Bachillerato;Empleado;Empleado;Si;No;0 A 10 LIBROS;Igual;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;UNICA;58;59;58;55;48;284
F;2;Ninguno;Bachillerato;Ninguno;Empleado;Si;Si;26 A 100 LIBROS;Igual;Entre 30 y 60 minutos;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;53;56;59;55;54;278
F;Estrato 1;Bachillerato;Bachillerato;Empleado;Empleado;Si;Si;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;56;53;54;58;52;275
F;1;Bachillerato;Primaria;Empleado;Empleado;No;No;11 A 25 LIBROS;Igual;Entre 30 y 60 minutos;Mas de 3 horas;NO OFICIAL;A;;URBANO;MAÑANA;49;40;48;44;49;228
F;Estrato 2;Bachillerato;Bachillerato;Empleado;Empleado;Si;Si;11 A 25 LIBROS;Igual;Entre 30 y 60 minutos;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;61;64;59;55;66;301
F;;;;Empleado;Empleado;;No;;Mejor;;;NO OFICIAL;A;N;URBANO;MAÑANA;67;57;57;75;57;317
F;Estrato 1;profesional;profesional;Empleado;Empleado;No;No;0 A 10 LIBROS;Mejor;No leo por entretenimiento;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;81;71;68;66;84;362
F;1;Ninguno;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 30 y 60 minutos;No Navega Internet;OFICIAL;A;N;URBANO;MAÑANA;39;39;43;37;37;197
F;1;Primaria;Bachillerato;Empleado;Empleado;No;No;0 A 10 LIBROS;Mejor;Entre 30 y 60 minutos;Entre 30 y 60 minutos;OFICIAL;A;S;URBANO;TARDE;45;40;41;37;37;202
F;2;Bachillerato;Bachillerato;Empleado;Empleado;Si;Si;0 A 10 LIBROS;Mejor;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;43;48;47;43;40;224
F;1;Bachillerato;Bachillerato;Empleado;Empleado;Si;Si;MAS DE 100 LIBROS;Igual;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;MAÑANA;57;65;54;47;46;275
F;Estrato 1;Primaria;Primaria;Empleado;Empleado;Si;No;11 A 25 LIBROS;Igual;Entre 30 y 60 minutos;Mas de 3 horas;OFICIAL;A;N;URBANO;MAÑANA;42;41;41;36;34;198
F;Estrato 1;Tecnica o tecnoligica;Bachillerato;Empleado;Empleado;Si;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;TARDE;54;60;43;48;44;253
F;Estrato 1;Primaria;Bachillerato;Empleado;Empleado;No;No;26 A 100 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;UNICA;66;63;62;61;46;308
F;Estrato 1;Primaria;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;RURAL;UNICA;68;70;34;54;62;285
F;Estrato 1;Bachillerato;Tecnica o tecnoligica;Ninguno;Empleado;Si;No;0 A 10 LIBROS;Igual;Entre 30 y 60 minutos;Entre 30 y 60 minutos;NO OFICIAL;A;;URBANO;SABATINA;61;59;61;66;57;307
F;Estrato 1;Bachillerato;Bachillerato;Empleado;Empleado;Si;No;0 A 10 LIBROS;Peor;Mas de 2 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;71;53;63;70;53;317
F;2;Bachillerato;Bachillerato;Empleado;Ninguno;Si;Si;11 A 25 LIBROS;Igual;No leo por entretenimiento;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;42;45;41;36;46;207
F;Sin Estrato;Tecnica o tecnoligica;profesional;Empleado;Empleado;No;No;0 A 10 LIBROS;Peor;Entre 30 y 60 minutos;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;UNICA;65;71;70;71;66;345
F;Estrato 1;Primaria;Primaria;Empleado;Ninguno;No;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Mas de 3 horas;OFICIAL;A;N;RURAL;MAÑANA;62;67;46;54;50;283
F;1;Ninguno;Bachillerato;Ninguno;Empleado;No;No;11 A 25 LIBROS;Igual;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;50;59;56;60;59;282
F;Estrato 1;Bachillerato;Bachillerato;Empleado;Empleado;Si;No;11 A 25 LIBROS;Igual;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;S;URBANO;MAÑANA;65;68;60;58;53;310
F;Sin Estrato;Primaria;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;No Navega Internet;OFICIAL;A;N;URBANO;MAÑANA;42;30;36;36;63;190
F;Estrato 2;Primaria;Primaria;Empleado;Empleado;Si;Si;11 A 25 LIBROS;Mejor;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;MAÑANA;54;62;56;52;48;277
F;Estrato 1;Bachillerato;Bachillerato;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;49;43;47;34;51;219
F;1;Bachillerato;Primaria;Empleado;Empleado;Si;Si;MAS DE 100 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;MAÑANA;50;46;60;53;50;260
F;Estrato 2;Bachillerato;Primaria;Empleado;Empleado;No;Si;26 A 100 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;57;55;62;46;56;275
F;Estrato 1;Primaria;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Peor;Entre 1 y 3 horas;No Navega Internet;OFICIAL;A;N;URBANO;MAÑANA;53;54;54;48;44;258
F;2;Primaria;Primaria;Empleado;Empleado;Si;Si;0 A 10 LIBROS;Igual;Entre 30 y 60 minutos;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;TARDE;55;60;50;38;51;254
F;2;Tecnica o tecnoligica;profesional;Empleado;Empleado;Si;Si;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;78;78;70;73;70;372
F;2;profesional;Tecnica o tecnoligica;Empleado;Empleado;Si;Si;26 A 100 LIBROS;Igual;Entre 30 y 60 minutos;Entre 30 y 60 minutos;NO OFICIAL;A;N;URBANO;MAÑANA;55;59;55;44;53;266
F;1;Primaria;Bachillerato;Empleado;Empleado;Si;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;57;65;47;50;55;274
F;Estrato 2;Bachillerato;Tecnica o tecnoligica;Empleado;Empleado;Si;Si;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;NO OFICIAL;A;N;URBANO;MAÑANA;67;62;55;60;64;306
F;;;;;;;;;;;;OFICIAL;A;N;RURAL;MAÑANA;56;63;56;59;48;288
F;Sin Estrato;Bachillerato;Bachillerato;Ninguno;Ninguno;Si;Si;26 A 100 LIBROS;Igual;Mas de 2 horas;Entre 30 y 60 minutos;OFICIAL;A;N;RURAL;MAÑANA;51;41;43;40;43;218
F;1;Bachillerato;Bachillerato;Empleado;Empleado;No;No;11 A 25 LIBROS;Mejor;No leo por entretenimiento;Entre 1 y 3 horas;OFICIAL;A;N;RURAL;TARDE;53;53;49;48;50;253
F;Estrato 1;Primaria;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Mejor;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;UNICA;45;49;60;53;42;255
F;Estrato 1;Primaria;Primaria;Empleado;Empleado;Si;No;0 A 10 LIBROS;Mejor;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;RURAL;MAÑANA;50;47;48;44;49;237
F;2;Primaria;Ninguno;Empleado;Empleado;Si;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;;RURAL;MAÑANA;58;59;57;58;52;288
F;2;Tecnica o tecnoligica;profesional;Empleado;Empleado;Si;Si;0 A 10 LIBROS;Igual;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;TARDE;71;77;64;69;67;350
F;2;Bachillerato;Primaria;Empleado;Empleado;Si;Si;11 A 25 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;NO OFICIAL;A;;URBANO;MAÑANA;55;57;54;60;49;280
F;2;Primaria;Bachillerato;Empleado;Empleado;Si;Si;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;OFICIAL;A;;URBANO;UNICA;65;55;58;55;55;290
F;;;;;;;;;;;;NO OFICIAL;A;;URBANO;SABATINA;60;59;58;56;57;291
F;Estrato 2;Primaria;profesional;Empleado;Empleado;Si;Si;0 A 10 LIBROS;Igual;Mas de 2 horas;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;52;56;55;51;72;275
F;Estrato 1;Primaria;Primaria;Empleado;Empleado;No;No;0 A 10 LIBROS;Peor;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;58;30;46;44;40;221
M;Estrato 1;Bachillerato;Bachillerato;Empleado;Empleado;Si;Si;0 A 10 LIBROS;Mejor;No leo por entretenimiento;Mas de 3 horas;NO OFICIAL;A;;URBANO;SABATINA;47;48;45;35;48;220
F;3;Bachillerato;Primaria;Empleado;Empleado;Si;Si;11 A 25 LIBROS;Peor;Entre 30 y 60 minutos;Entre 30 y 60 minutos;OFICIAL;A;N;RURAL;MAÑANA;55;43;49;49;46;244
F;Estrato 3;Bachillerato;Bachillerato;Empleado;Empleado;Si;Si;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;43;40;41;31;44;196
F;2;profesional;profesional;Empleado;Empleado;Si;Si;26 A 100 LIBROS;Peor;Entre 1 y 3 horas;Entre 30 y 60 minutos;OFICIAL;A;N;URBANO;MAÑANA;66;67;47;51;58;289
F;;;;Empleado;Empleado;;No;;Igual;;;OFICIAL;A;N;URBANO;MAÑANA;40;52;49;33;54;222
F;;Primaria;Primaria;Empleado;Empleado;Si;No;0 A 10 LIBROS;Igual;No leo por entretenimiento;Entre 30 y 60 minutos;NO OFICIAL;A;;URBANO;SABATINA;44;47;41;37;48;213
F;Estrato 1;Ninguno;Ninguno;Ninguno;Ninguno;Si;Si;0 A 10 LIBROS;Igual;Entre 30 y 60 minutos;No Navega Internet;OFICIAL;A;N;URBANO;UNICA;52;47;55;47;55;253
F;Estrato 4;Bachillerato;Bachillerato;Empleado;Empleado;Si;No;11 A 25 LIBROS;Peor;Entre 30 y 60 minutos;Entre 1 y 3 horas;NO OFICIAL;A;N;URBANO;MAÑANA;47;32;43;42;56;211
F;3;Bachillerato;Tecnica o tecnoligica;Empleado;Empleado;Si;Si;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;NO OFICIAL;A;N;URBANO;MAÑANA;70;52;47;60;61;288
F;Estrato 1;Bachillerato;Bachillerato;Empleado;Empleado;No;No;0 A 10 LIBROS;Igual;Entre 1 y 3 horas;Entre 1 y 3 horas;NO OFICIAL;A;;URBANO;MAÑANA;50;42;38;33;29;199
F;Estrato 2;profesional;profesional;Ninguno;Empleado;No;Si;11 A 25 LIBROS;Peor;Entre 30 y 60 minutos;Entre 1 y 3 horas;OFICIAL;A;N;URBANO;MAÑANA;58;67;59;67;66;315
